"keys","pt","en","es","fr","de","it","nl","pl","sv","da","nb","fi","cs","hu","ro","tr","ru","uk","ja","ko","zh"
"JOGO_LEMA","resolva o enigma, revele a imagem","solve the logic, reveal the picture","resuelve la lógica, revela la imagen","résolvez la logique, révélez l'image","löse die Logik, enthülle das Bild","risolvi la logica, rivela l'immagine","los de logica op, onthul de afbeelding","rozwiąż logikę, odkryj obraz","lös logiken, avslöja bilden","løs logikken, afslør billedet","løs logikken, avslør bildet","ratkaise logiikka, paljasta kuva","vyřeš logiku, odhal obrázek","oldd meg a logikát, fedd fel a képet","rezolvă logica, dezvăluie imaginea","mantığı çöz, resmi ortaya çıkar","решите логику, откройте картинку","розв'яжіть логіку, відкрийте зображення","論理を解いて絵を明かそう","논리를 풀고 그림을 밝히세요","解开逻辑，揭示图画"
"JOGO_MODO_RELAXADO","modo relaxado","relaxed mode","modo relajado","mode détendu","entspannter Modus","modalità rilassata","ontspannen modus","tryb spokojny","avslappnat läge","afslappet tilstand","avslappet modus","rento tila","klidný režim","nyugodt mód","mod relaxat","rahat mod","спокойный режим","спокійний режим","リラックスモード","편안한 모드","轻松模式"
"JOGO_NOME","REVELAR","REVELAR","REVELAR","REVELAR","REVELAR","REVELAR","REVELAR","REVELAR","REVELAR","REVELAR","REVELAR","REVELAR","REVELAR","REVELAR","REVELAR","REVELAR","REVELAR","REVELAR","REVELAR","REVELAR","REVELAR"
"JOGO_PAUSA","Pausa","Pause","Pausa","Pause","Pause","Pausa","Pauze","Pauza","Paus","Pause","Pause","Tauko","Pauza","Szünet","Pauză","Duraklat","Пауза","Пауза","ポーズ","일시정지","暂停"
"JOGO_RETOMAR","Retomar partida","Resume game","Reanudar partida","Reprendre la partie","Spiel fortsetzen","Riprendi partita","Spel hervatten","Wznów grę","Återuppta spelet","Genoptag spillet","Gjenoppta spillet","Jatka peliä","Pokračovat ve hře","Játék folytatása","Reia partida","Oyuna devam et","Продолжить партию","Продовжити гру","つづきから","이어서 하기","继续游戏"
"MENU_CONQUISTAS","Conquistas","Achievements","Logros","Succès","Erfolge","Obiettivi","Prestaties","Osiągnięcia","Prestationer","Præstationer","Prestasjoner","Saavutukset","Úspěchy","Teljesítmények","Realizări","Başarımlar","Достижения","Досягнення","実績","업적","成就"
"MENU_CONTINUAR","Continuar","Continue","Continuar","Continuer","Fortsetzen","Continua","Doorgaan","Kontynuuj","Fortsätt","Fortsæt","Fortsett","Jatka","Pokračovat","Folytatás","Continuă","Devam","Продолжить","Продовжити","つづきから","이어하기","继续"
"MENU_CREDITOS","Créditos","Credits","Créditos","Crédits","Mitwirkende","Crediti","Credits","Twórcy","Medverkande","Medvirkende","Medvirkende","Tekijät","Tvůrci","Készítők","Credite","Emeği Geçenler","Авторы","Автори","クレジット","제작진","制作人员"
"MENU_GALERIA","Galeria","Gallery","Galería","Galerie","Galerie","Galleria","Galerij","Galeria","Galleri","Galleri","Galleri","Galleria","Galerie","Galéria","Galerie","Galeri","Галерея","Галерея","ギャラリー","갤러리","画廊"
"MENU_JOGAR","Jogar","Play","Jugar","Jouer","Spielen","Gioca","Spelen","Graj","Spela","Spil","Spill","Pelaa","Hrát","Játék","Joacă","Oyna","Играть","Грати","プレイ","플레이","开始游戏"
"MENU_NUMEROS","Seus números","Your stats","Tus datos","Vos statistiques","Deine Zahlen","I tuoi dati","Jouw cijfers","Twoje statystyki","Din statistik","Dine tal","Din statistikk","Tilastosi","Tvá čísla","Statisztikád","Datele tale","İstatistiklerin","Ваша статистика","Ваша статистика","記録","기록","你的数据"
"MENU_OPCOES","Opções","Options","Opciones","Options","Optionen","Opzioni","Opties","Opcje","Inställningar","Indstillinger","Innstillinger","Asetukset","Nastavení","Beállítások","Opțiuni","Ayarlar","Настройки","Налаштування","設定","설정","设置"
"MENU_SAIR","Sair","Quit","Salir","Quitter","Beenden","Esci","Afsluiten","Wyjdź","Avsluta","Afslut","Avslutt","Lopeta","Ukončit","Kilépés","Ieșire","Çık","Выход","Вихід","終了","종료","退出"
"NUVEM_EXPORTAR","Exportar salvamento","Export save","Exportar guardado","Exporter la sauvegarde","Spielstand exportieren","Esporta salvataggio","Opslag exporteren","Eksportuj zapis","Exportera sparfil","Eksportér gemte data","Eksporter lagring","Vie tallennus","Exportovat uložení","Mentés exportálása","Exportă salvarea","Kaydı dışa aktar","Экспорт сохранения","Експорт збереження","セーブを書き出す","저장 내보내기","导出存档"
"NUVEM_IMPORTAR","Importar salvamento","Import save","Importar guardado","Importer la sauvegarde","Spielstand importieren","Importa salvataggio","Opslag importeren","Importuj zapis","Importera sparfil","Importér gemte data","Importer lagring","Tuo tallennus","Importovat uložení","Mentés importálása","Importă salvarea","Kaydı içe aktar","Импорт сохранения","Імпорт збереження","セーブを読み込む","저장 불러오기","导入存档"
"NUVEM_LOCAL","Somente neste aparelho","This device only","Solo en este dispositivo","Sur cet appareil seulement","Nur auf diesem Gerät","Solo su questo dispositivo","Alleen op dit apparaat","Tylko na tym urządzeniu","Endast på denna enhet","Kun på denne enhed","Kun på denne enheten","Vain tällä laitteella","Jen v tomto zařízení","Csak ezen az eszközön","Doar pe acest dispozitiv","Yalnızca bu cihazda","Только на этом устройстве","Лише на цьому пристрої","この端末のみ","이 기기에만","仅本机"
"NUVEM_SINCRONIZADO","Sincronizado com a nuvem","Synced to the cloud","Sincronizado con la nube","Synchronisé avec le cloud","Mit der Cloud synchronisiert","Sincronizzato con il cloud","Gesynchroniseerd met de cloud","Zsynchronizowano z chmurą","Synkad till molnet","Synkroniseret til skyen","Synkronisert til skyen","Synkronoitu pilveen","Synchronizováno s cloudem","Felhővel szinkronizálva","Sincronizat cu cloudul","Buluta eşitlendi","Синхронизировано с облаком","Синхронізовано з хмарою","クラウドと同期済み","클라우드와 동기화됨","已与云同步"
"NUVEM_TITULO","Salvamento","Save data","Guardado","Sauvegarde","Spielstand","Salvataggio","Opslaan","Zapis","Sparfil","Gemte data","Lagring","Tallennus","Uložení","Mentés","Salvare","Kayıt","Сохранение","Збереження","セーブデータ","저장 데이터","存档"
"OPCOES_APAGAR","Apagar todo o progresso","Erase all progress","Borrar todo el progreso","Effacer toute la progression","Gesamten Fortschritt löschen","Cancella tutti i progressi","Alle voortgang wissen","Usuń cały postęp","Radera alla framsteg","Slet alt fremskridt","Slett all fremgang","Poista kaikki edistyminen","Smazat veškerý postup","Minden haladás törlése","Șterge tot progresul","Tüm ilerlemeyi sil","Стереть весь прогресс","Стерти весь прогрес","進行状況をすべて削除","모든 진행 상황 삭제","清除全部进度"
"OPCOES_APAGAR_AVISO","Isto apaga as %d fases resolvidas e esvazia a galeria.
Não dá para desfazer.","This erases %d solved levels and empties the gallery.
It cannot be undone.","Esto borra %d niveles resueltos y vacía la galería.
No se puede deshacer.","Cela efface %d niveaux résolus et vide la galerie.
C'est irréversible.","Das löscht %d gelöste Level und leert die Galerie.
Nicht rückgängig zu machen.","Cancella %d livelli risolti e svuota la galleria.
Non è reversibile.","Dit wist %d opgeloste levels en leegt de galerij.
Dit kan niet ongedaan.","To usunie %d ukończonych poziomów i wyczyści galerię.
Nie można cofnąć.","Detta raderar %d klarade nivåer och tömmer galleriet.
Kan inte ångras.","Dette sletter %d klarede niveauer og tømmer galleriet.
Kan ikke fortrydes.","Dette sletter %d fullførte nivåer og tømmer galleriet.
Kan ikke angres.","Tämä poistaa %d ratkaistua tasoa ja tyhjentää gallerian.
Ei voi perua.","Smaže %d vyřešených úrovní a vyprázdní galerii.
Nelze vrátit zpět.","Ez törli a(z) %d megoldott szintet és kiüríti a galériát.
Nem vonható vissza.","Aceasta șterge %d niveluri rezolvate și golește galeria.
Nu se poate anula.","Bu, çözülen %d bölümü siler ve galeriyi boşaltır.
Geri alınamaz.","Это сотрёт %d пройденных уровней и очистит галерею.
Отменить нельзя.","Це зітре %d пройдених рівнів і очистить галерею.
Скасувати неможливо.","クリア済みの%dステージを削除し、ギャラリーを空にします。
元に戻せません。","완료한 %d개 레벨을 지우고 갤러리를 비웁니다.
되돌릴 수 없습니다.","这将删除已完成的 %d 个关卡并清空画廊。
无法撤销。"
"OPCOES_APARENCIA","Aparência","Appearance","Apariencia","Apparence","Darstellung","Aspetto","Weergave","Wygląd","Utseende","Udseende","Utseende","Ulkoasu","Vzhled","Megjelenés","Aspect","Görünüm","Оформление","Оформлення","外観","화면","外观"
"OPCOES_ARRASTE","Arraste em linha reta","Straight-line drag","Arrastre en línea recta","Glissement en ligne droite","Ziehen in gerader Linie","Trascinamento in linea retta","Slepen in rechte lijn","Przeciąganie w linii prostej","Dra i rak linje","Træk i lige linje","Dra i rett linje","Raahaus suoraan","Tažení v přímce","Húzás egyenes vonalban","Tragere în linie dreaptă","Düz çizgide sürükleme","Перетаскивание по прямой","Перетягування по прямій","まっすぐドラッグ","직선 드래그","直线拖动"
"OPCOES_ARRASTE_AJUDA","Ao arrastar, o preenchimento trava no eixo puxado.","While dragging, filling locks to the axis you pulled.","Al arrastrar, el relleno se fija al eje.","En glissant, le remplissage se fixe sur l'axe.","Beim Ziehen bleibt das Füllen auf der Achse.","Trascinando, il riempimento resta sull'asse.","Bij slepen blijft het vullen op de as.","Podczas przeciągania wypełnianie trzyma się osi.","Vid dragning låses fyllningen till axeln.","Ved træk låses udfyldning til aksen.","Ved dra låses fyllingen til aksen.","Raahatessa täyttö lukittuu akseliin.","Při tažení se vyplňování drží osy.","Húzáskor a kitöltés a tengelyhez rögzül.","La tragere, umplerea se fixează pe axă.","Sürüklerken doldurma eksene kilitlenir.","При перетаскивании заливка держится оси.","При перетягуванні заливка тримається осі.","ドラッグ中は引いた方向に固定されます。","드래그 중에는 끌어당긴 축으로 고정됩니다.","拖动时沿所拉方向锁定。"
"OPCOES_AUTO_X","Marcar linha fechada","Auto-mark finished lines","Marcar líneas completas","Marquer les lignes finies","Fertige Linien markieren","Segna le righe complete","Voltooide lijnen markeren","Oznacz ukończone linie","Markera klara rader","Markér færdige rækker","Marker ferdige rader","Merkitse valmiit rivit","Označit hotové řady","Kész sorok jelölése","Marchează rândurile gata","Biten satırları işaretle","Отмечать законченные линии","Позначати завершені лінії","完成した列に×を付ける","완성된 줄 자동 표시","自动标记完成的行"
"OPCOES_AUTO_X_AJUDA","Ao fechar uma linha, marca X nas células vazias dela.","When a line is done, marks X on its empty cells.","Al completar una línea, marca X en sus celdas vacías.","Quand une ligne est finie, marque X sur ses cases vides.","Ist eine Linie fertig, werden ihre leeren Felder mit X markiert.","Quando una riga è completa, segna X sulle celle vuote.","Als een lijn klaar is, zet X op de lege vakjes.","Gdy linia jest gotowa, zaznacza X na jej pustych polach.","När en rad är klar markeras dess tomma rutor med X.","Når en række er færdig, markeres tomme felter med X.","Når en rad er ferdig, merkes tomme ruter med X.","Kun rivi on valmis, tyhjiin ruutuihin tulee X.","Když je řada hotová, označí prázdná pole X.","Ha egy sor kész, X-et tesz az üres mezőire.","Când un rând e gata, marchează X pe celulele goale.","Bir satır bitince boş karelerine X koyar.","Когда линия закончена, ставит X на её пустых клетках.","Коли лінія завершена, ставить X на її порожніх клітинках.","列が完成すると空きマスに×を付けます。","줄이 완성되면 빈 칸에 X를 표시합니다.","一行完成后在空格标记 X。"
"OPCOES_CONTRASTE","Alto contraste","High contrast","Alto contraste","Contraste élevé","Hoher Kontrast","Contrasto elevato","Hoog contrast","Wysoki kontrast","Hög kontrast","Høj kontrast","Høy kontrast","Suuri kontrasti","Vysoký kontrast","Nagy kontraszt","Contrast ridicat","Yüksek kontrast","Высокий контраст","Високий контраст","ハイコントラスト","고대비","高对比度"
"OPCOES_CONTRASTE_AJUDA","Cores mais separadas, para leitura mais fácil.","Colors further apart, easier to read.","Colores más separados, más fáciles de leer.","Couleurs plus contrastées, plus lisibles.","Deutlichere Farben, leichter zu lesen.","Colori più distinti, più leggibili.","Verder uit elkaar liggende kleuren, beter leesbaar.","Bardziej odrębne kolory, łatwiejsze w odbiorze.","Tydligare färger, lättare att läsa.","Tydeligere farver, lettere at læse.","Tydeligere farger, lettere å lese.","Selkeämmät värit, helpompi lukea.","Odlišnější barvy, snazší čtení.","Elkülönültebb színek, könnyebb olvasás.","Culori mai distincte, mai ușor de citit.","Daha ayrık renkler, daha kolay okuma.","Более различимые цвета, легче читать.","Більш різні кольори, легше читати.","色の差を大きくして読みやすくします。","색 차이를 키워 읽기 쉽게 합니다.","加大色差，更易辨认。"
"OPCOES_DADOS","Dados","Data","Datos","Données","Daten","Dati","Gegevens","Dane","Data","Data","Data","Tiedot","Data","Adatok","Date","Veri","Данные","Дані","データ","데이터","数据"
"OPCOES_EFEITOS","Efeitos sonoros","Sound effects","Efectos de sonido","Effets sonores","Soundeffekte","Effetti sonori","Geluidseffecten","Efekty dźwiękowe","Ljudeffekter","Lydeffekter","Lydeffekter","Ääniefektit","Zvukové efekty","Hangeffektek","Efecte sonore","Ses efektleri","Звуковые эффекты","Звукові ефекти","効果音","효과음","音效"
"OPCOES_ERRO","Destacar a célula errada","Highlight the wrong cell","Resaltar la celda errónea","Surligner la case erronée","Falsches Feld hervorheben","Evidenzia la cella sbagliata","Fout vakje markeren","Podświetl błędne pole","Markera fel ruta","Fremhæv forkert felt","Marker feil rute","Korosta väärä ruutu","Zvýraznit chybné pole","Rossz mező kiemelése","Evidențiază celula greșită","Yanlış kareyi vurgula","Подсвечивать ошибочную клетку","Підсвічувати помилкову клітинку","間違えたマスを強調","틀린 칸 강조","高亮错误格"
"OPCOES_ERRO_AJUDA","Marca em vermelho onde você pintou errado.","Marks in red where you filled wrong.","Marca en rojo donde pintaste mal.","Marque en rouge vos erreurs de remplissage.","Markiert rot, wo du falsch gefüllt hast.","Segna in rosso dove hai riempito male.","Markeert rood waar je fout inkleurde.","Zaznacza na czerwono błędne pola.","Markerar rött där du fyllt fel.","Markerer rødt, hvor du udfyldte forkert.","Markerer rødt der du fylte feil.","Merkitsee punaisella väärin täytetyn.","Označí červeně chybné vyplnění.","Pirossal jelöli a rossz kitöltést.","Marchează cu roșu unde ai greșit.","Yanlış doldurduğun yeri kırmızı işaretler.","Отмечает красным неверную клетку.","Позначає червоним помилкову клітинку.","塗り間違えたマスを赤で示します。","잘못 칠한 칸을 빨간색으로 표시합니다.","用红色标出涂错的格子。"
"OPCOES_FUNDO","Fundo animado","Animated background","Fondo animado","Fond animé","Animierter Hintergrund","Sfondo animato","Bewegende achtergrond","Animowane tło","Animerad bakgrund","Animeret baggrund","Animert bakgrunn","Animoitu tausta","Animované pozadí","Animált háttér","Fundal animat","Hareketli arka plan","Анимированный фон","Анімований фон","背景アニメーション","배경 애니메이션","动态背景"
"OPCOES_FUNDO_AJUDA","Desligue se o movimento incomodar.","Turn off if motion bothers you.","Desactívalo si el movimiento molesta.","Désactivez si le mouvement vous gêne.","Ausschalten, wenn Bewegung stört.","Disattiva se il movimento disturba.","Zet uit als beweging stoort.","Wyłącz, jeśli ruch przeszkadza.","Stäng av om rörelse stör.","Slå fra hvis bevægelse generer.","Slå av hvis bevegelse plager.","Sammuta, jos liike häiritsee.","Vypni, pokud pohyb ruší.","Kapcsold ki, ha zavar a mozgás.","Dezactivează dacă mișcarea deranjează.","Hareket rahatsız ediyorsa kapat.","Отключите, если движение мешает.","Вимкніть, якщо рух заважає.","動きが気になる場合はオフに。","움직임이 불편하면 끄세요.","若动效影响，可关闭。"
"OPCOES_IDIOMA","Idioma","Language","Idioma","Langue","Sprache","Lingua","Taal","Język","Språk","Sprog","Språk","Kieli","Jazyk","Nyelv","Limbă","Dil","Язык","Мова","言語","언어","语言"
"OPCOES_JOGO","Jogo","Gameplay","Juego","Jeu","Spiel","Gioco","Spel","Rozgrywka","Spel","Spil","Spill","Peli","Hra","Játék","Joc","Oynanış","Игра","Гра","ゲーム","게임","游戏"
"OPCOES_MUSICA","Música","Music","Música","Musique","Musik","Musica","Muziek","Muzyka","Musik","Musik","Musikk","Musiikki","Hudba","Zene","Muzică","Müzik","Музыка","Музика","音楽","음악","音乐"
"OPCOES_RELAXADO","Modo relaxado","Relaxed mode","Modo relajado","Mode détendu","Entspannter Modus","Modalità rilassata","Ontspannen modus","Tryb spokojny","Avslappnat läge","Afslappet tilstand","Avslappet modus","Rento tila","Klidný režim","Nyugodt mód","Mod relaxat","Rahat mod","Спокойный режим","Спокійний режим","リラックスモード","편안한 모드","轻松模式"
"OPCOES_RELAXADO_AJUDA","Erros não custam vidas.","Mistakes cost no lives.","Los errores no cuestan vidas.","Les erreurs ne coûtent pas de vies.","Fehler kosten keine Leben.","Gli errori non costano vite.","Fouten kosten geen levens.","Błędy nie kosztują żyć.","Fel kostar inga liv.","Fejl koster ikke liv.","Feil koster ikke liv.","Virheet eivät maksa elämiä.","Chyby nestojí životy.","A hibák nem kerülnek életbe.","Greșelile nu costă vieți.","Hatalar can kaybettirmez.","Ошибки не стоят жизней.","Помилки не коштують життів.","ミスでライフを失いません。","실수해도 생명이 줄지 않습니다.","错误不扣生命。"
"OPCOES_SOM","Som","Sound","Sonido","Son","Ton","Audio","Geluid","Dźwięk","Ljud","Lyd","Lyd","Ääni","Zvuk","Hang","Sunet","Ses","Звук","Звук","サウンド","소리","声音"
"OPCOES_TEMA_CLARO","Tema claro","Light theme","Tema claro","Thème clair","Helles Design","Tema chiaro","Licht thema","Jasny motyw","Ljust tema","Lyst tema","Lyst tema","Vaalea teema","Světlý vzhled","Világos téma","Temă deschisă","Açık tema","Светлая тема","Світла тема","ライトテーマ","밝은 테마","浅色主题"
"OPCOES_TEMA_CLARO_AJUDA","Inverte a paleta inteira, inclusive as células.","Inverts the whole palette, cells included.","Invierte toda la paleta, incluidas las celdas.","Inverse toute la palette, cases comprises.","Kehrt die gesamte Palette um, auch die Felder.","Inverte l'intera palette, celle comprese.","Draait het hele palet om, ook de vakjes.","Odwraca całą paletę, także pola.","Vänder hela paletten, inklusive rutorna.","Vender hele paletten, felterne med.","Snur hele paletten, rutene inkludert.","Kääntää koko paletin, ruudut mukaan lukien.","Obrátí celou paletu včetně polí.","Megfordítja a teljes palettát, a mezőket is.","Inversează întreaga paletă, inclusiv celulele.","Tüm paleti tersine çevirir, kareler dahil.","Инвертирует всю палитру, включая клетки.","Інвертує всю палітру, включно з клітинками.","マス目を含め配色を反転します。","칸을 포함해 전체 배색을 반전합니다.","反转整个配色，包括格子。"
"OPCOES_TEMPO","Mostrar o tempo","Show the timer","Mostrar el tiempo","Afficher le temps","Zeit anzeigen","Mostra il tempo","Tijd tonen","Pokaż czas","Visa tiden","Vis tiden","Vis tiden","Näytä aika","Zobrazit čas","Idő mutatása","Arată timpul","Süreyi göster","Показывать время","Показувати час","タイムを表示","시간 표시","显示计时"
"OPCOES_TEMPO_AJUDA","Esconda se preferir jogar sem relógio.","Hide it if you prefer playing without a clock.","Ocúltalo si prefieres jugar sin reloj.","Masquez-le pour jouer sans horloge.","Ausblenden, wenn du ohne Uhr spielen willst.","Nascondilo per giocare senza orologio.","Verberg het als je zonder klok wilt spelen.","Ukryj, jeśli wolisz grać bez zegara.","Dölj om du hellre spelar utan klocka.","Skjul det, hvis du spiller uden ur.","Skjul det om du spiller uten klokke.","Piilota, jos pelaat ilman kelloa.","Skryj, pokud hraješ bez hodin.","Rejtsd el, ha óra nélkül játszanál.","Ascunde-l dacă preferi să joci fără ceas.","Saatsiz oynamak istersen gizle.","Скройте, если играете без часов.","Сховайте, якщо граєте без годинника.","時計なしで遊びたい場合は非表示に。","시계 없이 하고 싶으면 숨기세요.","若想无计时游玩可隐藏。"
"PAUSA_CONTINUAR","Continuar","Resume","Continuar","Reprendre","Weiter","Riprendi","Hervatten","Wznów","Återuppta","Genoptag","Fortsett","Jatka","Pokračovat","Folytatás","Continuă","Devam et","Продолжить","Продовжити","つづける","계속하기","继续"
"PAUSA_REINICIAR","Reiniciar fase","Restart level","Reiniciar nivel","Recommencer","Level neu starten","Ricomincia livello","Level herstarten","Zacznij od nowa","Starta om nivån","Genstart niveauet","Start nivået på nytt","Aloita taso alusta","Restartovat úroveň","Szint újraindítása","Reia nivelul","Bölümü yeniden başlat","Начать заново","Почати заново","やりなおす","레벨 다시 시작","重新开始"
"PAUSA_SAIR_MAPA","Sair para o mapa","Back to level select","Ir a los niveles","Retour aux niveaux","Zur Levelauswahl","Torna ai livelli","Terug naar levels","Wróć do wyboru","Till nivåvalet","Til niveauvalg","Til nivåvalg","Tasovalintaan","Zpět na výběr","Vissza a szintekhez","Înapoi la niveluri","Bölüm seçimine dön","К выбору уровня","До вибору рівня","ステージ選択へ","레벨 선택으로","返回选关"
"REVELACAO_MAPA","Mapa","Levels","Niveles","Niveaux","Level","Livelli","Levels","Poziomy","Nivåer","Niveauer","Nivåer","Tasot","Úrovně","Szintek","Niveluri","Bölümler","Уровни","Рівні","ステージ","레벨","关卡"
"REVELACAO_PROXIMA","Próxima fase","Next level","Siguiente nivel","Niveau suivant","Nächstes Level","Livello successivo","Volgend level","Następny poziom","Nästa nivå","Næste niveau","Neste nivå","Seuraava taso","Další úroveň","Következő szint","Nivelul următor","Sonraki bölüm","Следующий уровень","Наступний рівень","つぎのステージ","다음 레벨","下一关"
"REVELACAO_ROTULO","imagem revelada","picture revealed","imagen revelada","image révélée","Bild enthüllt","immagine rivelata","afbeelding onthuld","obraz odkryty","bild avslöjad","billede afsløret","bilde avslørt","kuva paljastui","obrázek odhalen","kép felfedve","imagine dezvăluită","resim ortaya çıktı","картинка открыта","зображення відкрито","絵が現れた","그림이 밝혀졌습니다","图画已揭示"
"REVELACAO_TEMPO","tempo %s","time %s","tiempo %s","temps %s","Zeit %s","tempo %s","tijd %s","czas %s","tid %s","tid %s","tid %s","aika %s","čas %s","idő %s","timp %s","süre %s","время %s","час %s","タイム %s","시간 %s","用时 %s"
"REVELACAO_TRES_ESTRELAS","3 estrelas: sem erros, sem dica e abaixo de %s","3 stars: no mistakes, no hint, under %s","3 estrellas: sin errores, sin pistas y bajo %s","3 étoiles : sans erreur, sans indice, sous %s","3 Sterne: ohne Fehler, ohne Tipp, unter %s","3 stelle: senza errori, senza aiuti, sotto %s","3 sterren: geen fouten, geen hint, onder %s","3 gwiazdki: bez błędów, bez podpowiedzi, poniżej %s","3 stjärnor: inga fel, ingen ledtråd, under %s","3 stjerner: ingen fejl, intet hint, under %s","3 stjerner: ingen feil, ingen hint, under %s","3 tähteä: ei virheitä, ei vihjeitä, alle %s","3 hvězdy: bez chyb, bez nápovědy, do %s","3 csillag: hiba és tipp nélkül, %s alatt","3 stele: fără greșeli, fără indicii, sub %s","3 yıldız: hatasız, ipucusuz, %s altında","3 звезды: без ошибок, без подсказок, быстрее %s","3 зірки: без помилок, без підказок, швидше %s","星3つ: ミスなし・ヒントなし・%s以内","별 3개: 실수 없이, 힌트 없이, %s 이내","三星：无错误、无提示、%s 以内"
"REVELACAO_TUDO","Você revelou todas as imagens!","You revealed every picture!","¡Revelaste todas las imágenes!","Vous avez révélé toutes les images !","Du hast alle Bilder enthüllt!","Hai rivelato tutte le immagini!","Je hebt alle afbeeldingen onthuld!","Odkryłeś wszystkie obrazy!","Du avslöjade alla bilder!","Du afslørede alle billeder!","Du avslørte alle bildene!","Paljastit kaikki kuvat!","Odhalil jsi všechny obrázky!","Minden képet felfedtél!","Ai dezvăluit toate imaginile!","Tüm resimleri ortaya çıkardın!","Вы открыли все картинки!","Ви відкрили всі зображення!","すべての絵を明かしました！","모든 그림을 밝혔습니다!","你揭示了所有图画！"
